id_produto,Categoria,Produto
1,FRUTAS,Abacate Avocado
2,FRUTAS,Abacate Breda
3,FRUTAS,Abacate Fortuna
4,FRUTAS,Abacate Geada
5,FRUTAS,Abacate Margarida
6,FRUTAS,Abacate Quintal
7,FRUTAS,Abacaxi Havai
8,FRUTAS,Abacaxi Pérola
9,FRUTAS,Abiu
10,FRUTAS,Acerola
11,FRUTAS,Ameixa Imp. Americana
12,FRUTAS,Ameixa Imp. Argentina
13,FRUTAS,Ameixa Imp. Chilena
14,FRUTAS,Ameixa Imp. Espanhola
15,FRUTAS,Ameixa Nacional
16,FRUTAS,Ameixa Seca Importada
17,FRUTAS,Amêndoa Importada
18,FRUTAS,Amora
19,FRUTAS,Atemoia
20,FRUTAS,Avelã
21,FRUTAS,Banana Maçã
22,FRUTAS,Banana Nanica
23,FRUTAS,Banana Ouro
24,FRUTAS,Banana Prata MG
25,FRUTAS,Banana Prata SP
26,FRUTAS,Banana Terra
27,FRUTAS,Cacau
28,FRUTAS,Caju
29,FRUTAS,Caqui Chocolate - Kyoto
30,FRUTAS,Caqui Fuyu
31,FRUTAS,Caqui Giombo
32,FRUTAS,Caqui Rama Forte
33,FRUTAS,Carambola
34,FRUTAS,Castanha imp. Portuguesa
35,FRUTAS,Castanha Nacional
36,FRUTAS,Cereja Importada
37,FRUTAS,Coco Verde
38,FRUTAS,Cupuaçu
39,FRUTAS,Damasco Importado
40,FRUTAS,Embu
41,FRUTAS,Figo
42,FRUTAS,Framboesa
43,FRUTAS,Goiaba
44,FRUTAS,Granadilla Imp Colômbia
45,FRUTAS,Grapefruit
46,FRUTAS,Graviola
47,FRUTAS,Jabuticaba
48,FRUTAS,Jaca
49,FRUTAS,Jambo
50,FRUTAS,Jatobá
51,FRUTAS,Jenipapo
52,FRUTAS,Kiwi Gold NZL Importado
53,FRUTAS,Kiwi Importado
54,FRUTAS,Kiwi Imp Chile
55,FRUTAS,Kiwi Imp Itália
56,FRUTAS,Kiwi Green NZL Importado
57,FRUTAS,Kiwi Nacional
58,FRUTAS,Laranja Baia
59,FRUTAS,Laranja Baia Importada
60,FRUTAS,Laranja Lima
61,FRUTAS,Laranja Pera
62,FRUTAS,Laranja Valência
63,FRUTAS,Lichia
64,FRUTAS,Lima Pérsia
65,FRUTAS,Limão Galego
66,FRUTAS,Limão Rosa
67,FRUTAS,Limão Siciliano
68,FRUTAS,Limão Siciliano Importado
69,FRUTAS,Limão Taiti
70,FRUTAS,Longan
71,FRUTAS,Maçã Eva
72,FRUTAS,Maçã Fuji
73,FRUTAS,Maça Fuji Importada
74,FRUTAS,Maçã Gala
75,FRUTAS,Maça Gala Importada
76,FRUTAS,Maçã Golden Del
77,FRUTAS,Maça Golden Importada
78,FRUTAS,Maça Granny Smith Importada
79,FRUTAS,Maça Pink Lady Importada
80,FRUTAS,Maça Red Del Importada
81,FRUTAS,Mamão Formosa
82,FRUTAS,Mamão Havaí
83,FRUTAS,Manga Bourbon
84,FRUTAS,Manga Coquinho
85,FRUTAS,Manga Espada
86,FRUTAS,Manga Haden
87,FRUTAS,Manga Keity
88,FRUTAS,Manga Lolita
89,FRUTAS,Manga Palmer
90,FRUTAS,Manga Rosa
91,FRUTAS,Manga Shelly
92,FRUTAS,Manga Tommy
93,FRUTAS,Mangostim
94,FRUTAS,Maracujá Azedo
95,FRUTAS,Maracujá Doce
96,FRUTAS,Melancia Baby
97,FRUTAS,Melancia
98,FRUTAS,Melão Amarelo
99,FRUTAS,Melão Gália
100,FRUTAS,Melão Net Melon
101,FRUTAS,Melão Orange
102,FRUTAS,Melão Pele de Sapo
103,FRUTAS,Mexerica Mandarina Importada
104,FRUTAS,Mexerica Rio
105,FRUTAS,Mirtilo
106,FRUTAS,Morango Comum
107,FRUTAS,Nectarina Importada
108,FRUTAS,Nectarina Imp Argentina
109,FRUTAS,Nectarina Imp Chile
110,FRUTAS,Nectarina Imp Espanha
111,FRUTAS,Nectarina Imp Estados Unidos
112,FRUTAS,Nectarina Nacional
113,FRUTAS,Nêspera
114,FRUTAS,Nozes Importada
115,FRUTAS,Nozes Pecan
116,FRUTAS,Pera Danjou Importada
117,FRUTAS,Pera Ercolini Importada
118,FRUTAS,Pera Forelli Importada
119,FRUTAS,Pera Hosui Importada
120,FRUTAS,Pera Nacional
121,FRUTAS,Pera Packhams Triumph Importada
122,FRUTAS,Pera Red Bartlett Importada
123,FRUTAS,Pera Rocha Importada
124,FRUTAS,Pera William Importada
125,FRUTAS,Pêssego Aurora
126,FRUTAS,Pêssego Chimarrita
127,FRUTAS,Pêssego Dourado
128,FRUTAS,Pêssego Eragil
129,FRUTAS,Pêssego Fascinio
130,FRUTAS,Pêssego Importado
131,FRUTAS,Pêssego Importado Argentina
132,FRUTAS,Pêssego Importado Chile
133,FRUTAS,Pêssego Importado Espanha
134,FRUTAS,Pêssego Imp Estados Unidos
135,FRUTAS,Pêssego Kampai
136,FRUTAS,Pêssego Nacional
137,FRUTAS,Pêssego Rubimel
138,FRUTAS,Pêssego Tropic Beauty
139,FRUTAS,Pêssego Xiripa
140,FRUTAS,Physalis
141,FRUTAS,Pinha
142,FRUTAS,Pitaia
143,FRUTAS,Pitanga
144,FRUTAS,Quincam
145,FRUTAS,Rambutã
146,FRUTAS,Romã
147,FRUTAS,Sapoti
148,FRUTAS,Seriguela
149,FRUTAS,Tâmara Seca Importada
150,FRUTAS,Tamarillo
151,FRUTAS,Tangerina Cravo
152,FRUTAS,Tangerina Decopom
153,FRUTAS,Tangerina Importada
154,FRUTAS,Tangerina Murcote
155,FRUTAS,Tangerina Ole
156,FRUTAS,Tangerina Poncã
157,FRUTAS,Uva Arra 15
158,FRUTAS,Uva Benitaka
159,FRUTAS,Uva Brasil
160,FRUTAS,Uva Centenial
161,FRUTAS,Uva Crinsom
162,FRUTAS,Uva Crimson Importada
163,FRUTAS,Uva Isabel
164,FRUTAS,Uva Isis
165,FRUTAS,Uva Italia
166,FRUTAS,Uva Melodia
167,FRUTAS,Uva Moscatel Importada
168,FRUTAS,Uva Niagara
169,FRUTAS,Uva Passa Importada
170,FRUTAS,Uva Red Globe
171,FRUTAS,Uva Red Globe Importada
172,FRUTAS,Uva Rubi
173,FRUTAS,Uva Thompson
174,FRUTAS,Uva Thompson Importada
175,FRUTAS,Uva Vitoria
176,LEGUMES,Abóbora D´Agua
177,LEGUMES,Abóbora Japonesa
178,LEGUMES,Abóbora Moranga
179,LEGUMES,Abóbora Paulista
180,LEGUMES,Abóbora Seca
181,LEGUMES,Abobrinha Brasileira
182,LEGUMES,Abobrinha Italiana
183,LEGUMES,Alcachofra
184,LEGUMES,Batata Doce Amarela
185,LEGUMES,Batata Doce Branca
186,LEGUMES,Batata Doce Rosada
187,LEGUMES,Batata Doce Roxa
188,LEGUMES,Batata Yakon
189,LEGUMES,Berinjela Comum
190,LEGUMES,Berinjela Japonesa
191,LEGUMES,Beterraba
192,LEGUMES,Cará
193,LEGUMES,Cenoura
194,LEGUMES,Chuchu
195,LEGUMES,Ervilha Torta
196,LEGUMES,Feijão de Corda
197,LEGUMES,Gengibre
198,LEGUMES,Inhame
199,LEGUMES,Jiló
200,LEGUMES,Lakio
201,LEGUMES,Lenkon
202,LEGUMES,Mandioca
203,LEGUMES,Mandioquinha
204,LEGUMES,Maxixe
205,LEGUMES,Miyoga
206,LEGUMES,Nigagori
207,LEGUMES,Pepino Caipira
208,LEGUMES,Pepino Comum
209,LEGUMES,Pepino Japonês
210,LEGUMES,Pimenta Cambuci
211,LEGUMES,Pimenta Dedo de Moça
212,LEGUMES,Pimenta Malagueta/Malaguetão
213,LEGUMES,Pimenta Verde
214,LEGUMES,Pimenta Verde Americana
215,LEGUMES,Pimentão Amarelo
216,LEGUMES,Pimentão Verde
217,LEGUMES,Pimentão Vermelho
218,LEGUMES,Quiabo
219,LEGUMES,Taquenoco
220,LEGUMES,Tomate Caqui
221,LEGUMES,Tomate Carmem
222,LEGUMES,Tomate Cereja
223,LEGUMES,Tomate Debora
224,LEGUMES,Tomate Holandês
225,LEGUMES,Tomate Italiano - Pizzadoro
226,LEGUMES,Tomate Rasteiro
227,LEGUMES,Tomate Sweet Grape
228,LEGUMES,Ume
229,LEGUMES,Vagem Macarrão
230,LEGUMES,Vagem Manteiga
231,LEGUMES,Vagem Metro
232,VERDURAS,Acelga Chinesa
233,VERDURAS,Acelga
234,VERDURAS,Agrião
235,VERDURAS,Agrião Hidropônico
236,VERDURAS,Alecrim
237,VERDURAS,Alface Americana
238,VERDURAS,Alface Crespa
239,VERDURAS,Alface Crespa Hidropônica
240,VERDURAS,Alface Lisa
241,VERDURAS,Alface Lisa Hidropônica
242,VERDURAS,Alface Mimosa
243,VERDURAS,Alface Mimosa Hidropônica
244,VERDURAS,Alface Romana
245,VERDURAS,Alface Romana Hidropônica
246,VERDURAS,Alfavaca
247,VERDURAS,Alho Porro
248,VERDURAS,Almeirão
249,VERDURAS,Almeirão Hidropônico
250,VERDURAS,Almeirão Pão de Açucar
251,VERDURAS,Aspargo
252,VERDURAS,Beterraba com Folhas
253,VERDURAS,Brócolos Ninja
254,VERDURAS,Brócolos Ramoso
255,VERDURAS,Broto de Alfafa
256,VERDURAS,Capim Cidreira
257,VERDURAS,Catalonha
258,VERDURAS,Cebolete
259,VERDURAS,Cebolinha
260,VERDURAS,Cenoura com Folhas
261,VERDURAS,Chicória
262,VERDURAS,Coentro
263,VERDURAS,Cogumelo Eryngui
264,VERDURAS,Cogumelo Hiratake
265,VERDURAS,Cogumelo Paris
266,VERDURAS,Cogumelo Porto Belo
267,VERDURAS,Cogumelo Shimeji
268,VERDURAS,Cogumelo Shitake
269,VERDURAS,Couve Manteiga
270,VERDURAS,Couve de Bruxelas
271,VERDURAS,Couve-Flor
272,VERDURAS,Endívia
273,VERDURAS,Endro
274,VERDURAS,Erva Doce
275,VERDURAS,Escarola
276,VERDURAS,Escarola Hidropônica
277,VERDURAS,Espinafre
278,VERDURAS,Espinafre Hidropônico
279,VERDURAS,Estragão
280,VERDURAS,Gengibre com Folhas
281,VERDURAS,Gobô
282,VERDURAS,Hana Nira
283,VERDURAS,Hortelã
284,VERDURAS,Louro
285,VERDURAS,Manjericão
286,VERDURAS,Manjerona
287,VERDURAS,Milho Verde
288,VERDURAS,Mostarda
289,VERDURAS,Mostarda Hidropônica
290,VERDURAS,Moyashi
291,VERDURAS,Nabo
292,VERDURAS,Orégano
293,VERDURAS,Palmito Pupunha
294,VERDURAS,Rabanete
295,VERDURAS,Radicchio
296,VERDURAS,Repolho Verde Liso
297,VERDURAS,Repolho Roxo
298,VERDURAS,Rúcula
299,VERDURAS,Rúcula Hidropônica
300,VERDURAS,Salsa
301,VERDURAS,Salsão Branco/Verde
302,VERDURAS,Sálvia
303,VERDURAS,Tomilho
304,HORTALIÇAS,Alface
305,HORTALIÇAS,Brócolos
306,HORTALIÇAS,Couve
307,HORTALIÇAS,Repolho
308,HORTALIÇAS,---
309,HORTALIÇAS,Abóbora Goianinha
310,HORTALIÇAS,Abóbora Verde Comum
311,HORTALIÇAS,Berinjela
312,HORTALIÇAS,Pepino Colonhão
313,HORTALIÇAS,Pimenta Bode
314,HORTALIÇAS,Pimentão
315,HORTALIÇAS,Tomate Salada
316,HORTALIÇAS,Tomate Santa Cruz
317,HORTALIÇAS,Vargem
318,HORTALIÇAS,Alho Nacional
319,HORTALIÇAS,Batata Comum
320,HORTALIÇAS,Batata Doce
321,HORTALIÇAS,Cebola Nacional
322,HORTALIÇAS,Banana Marmelo
323,HORTALIÇAS,Banana Prata
324,HORTALIÇAS,Laranja P.Rio
325,HORTALIÇAS,Maracuja Azedo
326,HORTALIÇAS,Melão
327,HORTALIÇAS,Melnacia
328,HORTALIÇAS,Morango
329,HORTALIÇAS,Tangerina Ponkam
330,HORTALIÇAS,Ovo Branco Ext.
